A1,A2
1027,7
1898,7
120,5
1730,7
591,5
259,5
1635,7
1499,7
50,5
1978,7
1871,7
1218,7
1917,7
471,5
688,5
573,5
1449,7
930,5
1557,7
546,5
917,5
1654,7
164,5
1633,7
646,5
1348,7
894,5
195,5
69,5
883,5
1191,7
1314,7
676,5
1307,7
739,5
560,5
428,5
1569,7
1503,7
199,5
283,5
453,5
1971,7
1418,7
754,5
1114,7
1343,7
1141,7
25,5
1728,7
1899,7
315,5
1259,7
1935,7
146,5
1116,7
1909,7
363,5
8,5
104,5
1213,7
677,5
1530,7
153,5
430,5
49,5
59,5
1744,7
370,5
919,5
1634,7
1768,7
1245,7
270,5
782,5
735,5
64,5
264,5
1578,7
1769,7
200,5
1715,7
760,5
915,5
1281,7
898,5
1142,7
90,5
1707,7
1425,7
831,5
1345,7
511,5
1611,7
1098,7
1568,7
71,5
1570,7
460,5
411,5
856,5
1340,7
1603,7
1147,7
1167,7
907,5
857,5
1201,7
1948,7
369,5
473,5
1775,7
528,5
382,5
1716,7
1035,7
758,5
76,5
859,5
888,5
1320,7
1956,7
368,5
1012,7
972,5
1423,7
1671,7
1262,7
1102,7
250,5
1777,7
1951,7
1000,5
946,5
1134,7
1840,7
524,5
1154,7
1691,7
1365,7
1263,7
978,5
1991,7
1587,7
716,5
1053,7
952,5
1217,7
459,5
324,5
1963,7
1363,7
733,5
1118,7
1962,7
1999,7
390,5
1227,7
1186,7
956,5
1044,7
217,5
1689,7
103,5
238,5
1176,7
1323,7
287,5
551,5
1237,7
1933,7
1908,7
421,5
1038,7
1463,7
1631,7
1666,7
1885,7
1561,7
1932,7
1626,7
1384,7
1993,7
810,5
802,5
374,5
695,5
1660,7
348,5
749,5
841,5
958,5
1697,7
467,5
1355,7
1294,7
672,5
1148,7
105,5
1188,7
1560,7
1349,7
1562,7
290,5
1734,7
704,5
258,5
1538,7
999,5
1809,7
455,5
394,5
1092,7
1657,7
1741,7
1882,7
1380,7
684,5
611,5
951,5
1770,7
1482,7
1122,7
610,5
1090,7
542,5
176,5
878,5
1865,7
1331,7
564,5
1981,7
1997,7
1845,7
1983,7
1653,7
1784,7
1174,7
1615,7
622,5
1483,7
379,5
1153,7
1250,7
144,5
1028,7
1505,7
1522,7
499,5
1397,7
803,5
1240,7
1426,7
775,5
635,5
1754,7
1819,7
670,5
1470,7
162,5
578,5
1073,7
1700,7
597,5
757,5
748,5
293,5
1636,7
880,5
278,5
182,5
866,5
785,5
1398,7
921,5
1727,7
449,5
1674,7
218,5
365,5
882,5
1848,7
537,5
1280,7
1661,7
759,5
1306,7
158,5
396,5
1055,7
498,5
1279,7
966,5
768,5
1181,7
123,5
1015,7
11,5
1391,7
109,5
502,5
1903,7
1367,7
850,5
398,5
1008,7
669,5
1713,7
1364,7
91,5
63,5
1837,7
494,5
1743,7
1982,7
1575,7
78,5
1421,7
1834,7
1620,7
1088,7
1939,7
1690,7
201,5
1390,7
1973,7
724,5
1127,7
1485,7
1563,7
1694,7
170,5
1672,7
435,5
515,5
566,5
196,5
1023,7
792,5
1609,7
714,5
1536,7
619,5
1758,7
1203,7
339,5
1652,7
977,5
1136,7
686,5
531,5
352,5
425,5
1828,7
652,5
858,5
403,5
707,5
20,5
445,5
131,5
685,5
606,5
166,5
1091,7
481,5
1347,7
243,5
1920,7
378,5
1265,7
1735,7
93,5
1753,7
961,5
1459,7
1286,7
126,5
1709,7
1795,7
500,5
969,5
185,5
1931,7
1353,7
1815,7
1189,7
790,5
986,5
335,5
458,5
1469,7
1890,7
169,5
1523,7
718,5
1889,7
671,5
1510,7
834,5
1059,7
581,5
592,5
281,5
991,5
1723,7
1554,7
464,5
307,5
1443,7
603,5
699,5
650,5
1590,7
216,5
1115,7
1013,7
292,5
329,5
830,5
875,5
1773,7
1329,7
1644,7
1880,7
288,5
1826,7
254,5
128,5
10,5
1663,7
326,5
1906,7
1358,7
1187,7
405,5
1496,7
1782,7
54,5
312,5
660,5
1807,7
517,5
651,5
486,5
649,5
608,5
463,5
1698,7
429,5
1806,7
1327,7
275,5
599,5
862,5
1979,7
1664,7
594,5
150,5
344,5
536,5
36,5
740,5
1378,7
1984,7
124,5
79,5
609,5
247,5
1928,7
503,5
1861,7
529,5
595,5
1792,7
68,5
825,5
1724,7
214,5
1430,7
1878,7
865,5
874,5
641,5
1297,7
1300,7
1604,7
1531,7
558,5
1404,7
1642,7
1185,7
1180,7
156,5
1473,7
108,5
478,5
659,5
135,5
683,5
1024,7
426,5
203,5
230,5
1157,7
1985,7
1881,7
1341,7
1408,7
412,5
832,5
157,5
774,5
1864,7
1210,7
319,5
1742,7
1650,7
416,5
1518,7
1897,7
171,5
1211,7
937,5
1625,7
35,5
57,5
1532,7
1468,7
1914,7
889,5
861,5
873,5
512,5
1974,7
1921,7
221,5
720,5
750,5
1641,7
725,5
778,5
709,5
1574,7
1479,7
1074,7
1326,7
612,5
761,5
161,5
708,5
935,5
417,5
1785,7
1075,7
1591,7
1832,7
518,5
1371,7
765,5
33,5
210,5
1144,7
634,5
152,5
1759,7
1533,7
852,5
587,5
1,5
1551,7
1497,7
925,5
1139,7
568,5
1278,7
1516,7
17,5
387,5
620,5
1273,7
1763,7
741,5
246,5
1392,7
732,5
989,5
159,5
298,5
799,5
872,5
1937,7
1375,7
1100,7
178,5
967,5
693,5
839,5
1512,7
1915,7
1239,7
347,5
1733,7
868,5
1235,7
1767,7
257,5
15,5
1428,7
1618,7
1145,7
1476,7
1616,7
1526,7
260,5
664,5
847,5
1870,7
1313,7
1121,7
947,5
1740,7
726,5
101,5
1022,7
713,5
97,5
1702,7
75,5
1588,7
848,5
1386,7
727,5
583,5
1113,7
1128,7
731,5
1221,7
886,5
1328,7
67,5
1087,7
1718,7
395,5
1647,7
1751,7
276,5
1160,7
1138,7
392,5
1747,7
1606,7
37,5
142,5
1441,7
547,5
1429,7
1729,7
1527,7
431,5
535,5
562,5
988,5
697,5
205,5
1033,7
330,5
657,5
1507,7
1052,7
388,5
864,5
940,5
1224,7
928,5
55,5
545,5
819,5
127,5
626,5
1242,7
215,5
240,5
1829,7
588,5
870,5
1929,7
448,5
482,5
1166,7
842,5
1558,7
1018,7
1007,7
295,5
1883,7
1488,7
1511,7
1752,7
1627,7
1152,7
613,5
380,5
1896,7
963,5
179,5
323,5
1695,7
1786,7
625,5
1194,7
331,5
655,5
1910,7
1019,7
320,5
1676,7
962,5
125,5
253,5
781,5
289,5
1151,7
1420,7
1359,7
1042,7
1072,7
1058,7
1624,7
807,5
1041,7
1438,7
1987,7
826,5
1888,7
271,5
734,5
343,5
1772,7
1372,7
1079,7
305,5
840,5
964,5
1600,7
903,5
1816,7
1484,7
340,5
1258,7
1580,7
1961,7
1089,7
933,5
1431,7
851,5
514,5
1002,7
1264,7
1960,7
1976,7
1312,7
1266,7
533,5
106,5
1401,7
1923,7
601,5
665,5
1394,7
1798,7
224,5
1677,7
682,5
1439,7
86,5
1813,7
965,5
1859,7
325,5
1669,7
723,5
317,5
113,5
678,5
1630,7
401,5
1520,7
1688,7
1220,7
480,5
1025,7
163,5
892,5
311,5
576,5
1107,7
122,5
1725,7
1614,7
334,5
43,5
34,5
1143,7
1383,7
1900,7
184,5
805,5
1964,7
1228,7
1130,7
1946,7
1223,7
1109,7
1592,7
527,5
1471,7
1385,7
1324,7
623,5
1564,7
1197,7
115,5
349,5
1464,7
484,5
1988,7
863,5
1750,7
1857,7
1583,7
12,5
318,5
927,5
441,5
29,5
507,5
206,5
559,5
981,5
579,5
1202,7
987,5
1402,7
1556,7
1168,7
600,5
702,5
1739,7
738,5
624,5
202,5
477,5
1778,7
338,5
422,5
1506,7
1731,7
1256,7
1862,7
1814,7
1193,7
44,5
644,5
1955,7
1525,7
1124,7
1549,7
23,5
1628,7
798,5
1014,7
1034,7
541,5
532,5
1646,7
83,5
1610,7
266,5
27,5
1901,7
141,5
1317,7
1887,7
356,5
1249,7
893,5
653,5
116,5
1544,7
1953,7
1455,7
1132,7
1212,7
1892,7
698,5
1762,7
837,5
1238,7
1112,7
1195,7
1989,7
1748,7
539,5
1791,7
386,5
1599,7
1032,7
228,5
615,5
424,5
342,5
1412,7
385,5
53,5
1950,7
1016,7
890,5
1836,7
1233,7
1545,7
557,5
1637,7
1451,7
1123,7
309,5
616,5
1593,7
496,5
1304,7
1466,7
923,5
1970,7
585,5
1477,7
689,5
7,5
1761,7
1393,7
420,5
1207,7
1066,7
1005,7
1812,7
1325,7
1854,7
1726,7
1681,7
730,5
828,5
1640,7
14,5
696,5
148,5
959,5
1356,7
1977,7
279,5
1944,7
1543,7
1478,7
381,5
1513,7
1319,7
1379,7
1436,7
1781,7
618,5
433,5
1902,7
1851,7
364,5
901,5
262,5
277,5
1550,7
46,5
1045,7
1571,7
1219,7
52,5
786,5
261,5
1209,7
1825,7
251,5
1493,7
1150,7
1515,7
860,5
1945,7
1856,7
40,5
822,5
777,5
1737,7
468,5
1403,7
1994,7
1680,7
1318,7
801,5
1333,7
402,5
1830,7
1454,7
353,5
1567,7
491,5
752,5
501,5
1275,7
1208,7
1597,7
62,5
415,5
65,5
1665,7
811,5
970,5
1975,7
590,5
1589,7
132,5
470,5
715,5
1579,7
149,5
1502,7
1338,7
1241,7
1410,7
1302,7
706,5
1172,7
534,5
1285,7
1106,7
690,5
423,5
1617,7
1446,7
1308,7
1293,7
360,5
437,5
1683,7
1396,7
493,5
983,5
1177,7
